Source,Target,Weight
scipy,h5py,2
py2exe,sqlalchemy,2
pygtk,pywin32,2
imaplib,email,2
select,pty,2
html,select,2
opencv,html,2
numba,cython,2
regex,glob,2
pycurl,ssl,2
csv,imaplib,2
ctypes,string,2
ssl,pymongo,2
regex,re2,2
pip,argparse,2
csv,scikit-learn,2
math,opencv,2
datetime,formatter,2
pandas,msgpack,2
pandas,cython,2
multiprocessing,rpy2,2
pyqt,pyserial,2
pip,pyopengl,2
pyopengl,numpy,2
pillow,scipy,2
gettext,babel,2
ipython,sympy,2
numeric,blaze,2
opencv,distutils,2
zlib,zipfile,2
csv,libsvm,2
py2exe,subprocess,2
html,mako,2
tornado,mysql-python,2
tkinter,copy,2
io,gevent,2
pip,pytables,2
peewee,mysql-python,2
math,types,2
pip,pycparser,2
matplotlib,pdb,2
spyder,pdb,2
string,sqlalchemy,2
tkinter,ipython,2
networkx,statsmodels,2
pyaudio,wave,2
ipython,pickle,2
peewee,select,2
io,nltk,2
csv,gzip,2
regex,sqlalchemy,2
cmd,sys,2
pip,gevent,2
tokenize,string,2
tarfile,zipfile,2
matplotlib,pygame,2
html,calendar,2
logging,pyqt,2
email,poplib,2
time,matplotlib,2
pyside,multiprocessing,2
pymc,scipy,2
base64,pickle,2
virtualenv,pyqt,2
matplotlib,vispy,2
vispy,pyqt,2
copy,shutil,2
copy,glob,2
shutil,glob,2
networkx,scipy,2
csv,pyodbc,2
pip,mercurial,2
random,uuid,2
jupyter,tensorflow,2
ipython,statsmodels,2
twisted,pygame,2
virtualenv,pygame,2
multiprocessing,pycuda,2
twisted,setuptools,2
twisted,distutils,2
uuid,sqlalchemy,2
pyqt4,tkinter,2
readline,subprocess,2
regex,json,2
pygame,console,2
matplotlib,ode,2
regex,hashlib,2
pygtk,vpython,2
numba,scipy,2
io,tensorflow,2
pygame,pygtk,2
pyhook,pywin32,2
timeit,scikit-learn,2
pyyaml,ruamel.yaml,2
numpy,pyserial,2
pip,pymongo,2
ipython,cython,2
csv,ipython,2
pyside,regex,2
regex,pyqt,2
tkinter,pyserial,2
tkinter,decimal,2
string,pyserial,2
pyserial,decimal,2
tokenize,scikit-learn,2
io,h5py,2
numexpr,sympy,2
subprocess,persistent,2
pip,gdal,2
pillow,base64,2
shutil,zipfile,2
xgboost,numpy,2
pyqt4,subprocess,2
pdb,theano,2
pygtk,pycairo,2
tkinter,pillow,2
time,numpy,2
scipy,shapely,2
jupyter,sympy,2
spyder,mayavi,2
csv,itertools,2
tornado,jupyter,2
virtualenv,warnings,2
logging,tkinter,2
sqlite3,pip,2
virtualenv,wxpython,2
pygtk,subprocess,2
virtualenv,python-ldap,2
io,shutil,2
py2exe,pytz,2
matplotlib,vtk,2
numpy,vtk,2
queue,pickle,2
random,cython,2
virtualenv,pdb,2
pip,readline,2
matplotlib,gdal,2
gevent,psycopg,2
opencv,flann,2
pyodbc,pywin32,2
matplotlib,math,2
random,nltk,2
multiprocessing,select,2
inspect,traceback,2
inspect,sys,2
traceback,sys,2
simplejson,types,2
json,types,2
pytables,h5py,2
pyside,spyder,2
pyqt,spyder,2
py2exe,argparse,2
opencv,kivy,2
pyside,sympy,2
numpy,ode,2
pip,cython,2
lxml,cython,2
posix,stat,2
pandas,gzip,2
ssl,select,2
pyqt4,asyncore,2
xgboost,scikit-learn,2
regex,locale,2
matplotlib,collections,2
imaplib,html,2
sqlite3,virtualenv,2
pygame,numpy,2
pygame,queue,2
numpy,queue,2
pandas,pyqt,2
twisted,ssl,2
sqlite3,regex,2
regex,pickle,2
python-ldap,ssl,2
numpy,tkinter,2
pip,mayavi,2
pip,vtk,2
virtualenv,tkinter,2
virtualenv,ipython,2
email,pywin32,2
nose,sqlalchemy,2
sqlite3,pandas,2
jinja2,sqlalchemy,2
shlex,subprocess,2
json,tensorflow,2
numeric,pyminuit,2
pyminuit,scipy,2
numpy,nltk,2
lxml,pickle,2
cython,setuptools,2
json,decimal,2
subprocess,posix,2
time,calendar,2
pyside,numpy,2
csv,random,2
numpy,python-dateutil,2
wxpython,pywin32,2
warnings,traceback,2
logging,matplotlib,2
time,logging,2
tornado,sqlalchemy,2
pandas,h5py,2
time,posix,2
nltk,json,2
csv,networkx,2
tkinter,warnings,2
pyqt4,pandas,2
io,ipython,2
csv,sqlalchemy,2
mmap,multiprocessing,2
pyqt,ssl,2
numpy,shapely,2
twisted,asyncore,2
ipython,subprocess,2
ipython,pyzmq,2
pyzmq,jupyter,2
random,scikit-learn,2
pyqt,setuptools,2
pyqt,distutils,2
numpy,gdal,2
simplejson,pickle,2
scipy,py2exe,2
io,random,2
numpy,sys,2
multiprocessing,traceback,2
pyqt4,pickle,2
zlib,setuptools,2
ssl,ftplib,2
matplotlib,cgi,2
scipy,polygon,2
pyqt4,pip,2
regex,types,2
numpy,decimal,2
regex,lxml,2
virtualenv,pytz,2
numpy,subprocess,2
ctypes,subprocess,2
pyqt4,virtualenv,2
virtualenv,pyside,2
logging,pyopengl,2
pyopengl,wxpython,2
random,datetime,2
pip,zipline,2
lxml,collections,2
pandas,copy,2
smtplib,tkinter,2
console,subprocess,2
math,numbers,2
ipython,locale,2
io,subprocess,2
pytables,datetime,2
warnings,nose,2
matplotlib,email,2
string,uuid,2
multiprocessing,shelve,2
numpy,mayavi,2
logging,pickle,2
gevent,subprocess,2
wxpython,console,2
networkx,wxpython,2
cython,sympy,2
logging,doctest,2
theano,tensorflow,2
numba,ipython,2
imaplib,poplib,2
string,scikit-learn,2
pytables,numexpr,2
numpy,fractions,2
datetime,stat,2
blaze,pandas,2
blaze,multiprocessing,2
heatmap,cartopy,2
mysql-python,sqlalchemy,2
pyqt4,pyodbc,2
pyqt,pyodbc,2
numpy,select,2
pandas,reportlab,2
pyqt4,sqlalchemy,2
pyopencl,struct,2
ssl,mysql-python,2
ipython,scikit-learn,2
ssl,tornado,2
tkinter,pywin32,2
theano,multiprocessing,2
gensim,tensorflow,2
copy,string,2
hashlib,pickle,2
time,string,2
libsvm,pickle,2
virtualenv,lxml,2
pip,nose,2
twisted,pymongo,2
logging,configparser,2
numpy,struct,2
tkinter,calendar,2
pygame,pickle,2
tornado,cgi,2
sendkeys,pywin32,2
vispy,glumpy,2
vispy,kivy,2
glumpy,kivy,2
tkinter,spyder,2
numpy,qutip,2
scipy,qutip,2
sys,cgi,2
pillow,opencv,2
pillow,scikit-image,2
queue,gevent,2
pyqt4,copy,2
pip,gmpy,2
pyqt4,pygame,2
pygame,pyqt,2
csv,html,2
csv,jinja2,2
tkinter,pyhook,2
